j,beta
"Apple, raw",0.39171314334140955
"Banana, raw",0.1897818881128576
Barbecue sauce,1.04587493041936
Beer,0.28825322905780787
"Bread, wheat or cracked wheat",0.32142889323272794
"Bread, white",0.30623896427172503
"Butter, stick",1.0138070271344737
"Carrots, raw",1.535086820643946
"Cheese, american",0.2511229984361227
"Cheese, cheddar",0.8243076470150313
"Cheese, nfs",1.0378373451040388
"Coffee creamer, liquid, flavored",1.0856589496029525
"Coffee, brewed",0.3510986444045315
"Cookie, chocolate chip",0.5620812783103103
Creamy dressing,1.1153112537091963
"Cucumber, raw",0.8056407108866072
"Egg, whole, boiled or poached",0.7863653696332801
"Grapes, raw",0.6544413463946426
"Ham, prepackaged or deli, luncheon meat",0.5446719780692585
Hard candy,0.1902296579076519
Hot pepper sauce,0.2061366976372646
"Italian dressing, made with vinegar and oil",0.8449743497403324
Ketchup,0.6177663517485757
"Lettuce, for use on a sandwich",0.22624008424816117
"Lettuce, raw",0.918830479549744
"Mayonnaise, regular",0.2932643882821885
"Milk, low fat (1%)",-0.1451455916726047
"Milk, reduced fat (2%)",0.21455264962149703
"Milk, whole",0.08776012673334567
Mustard,0.30436837403364886
"Onions, raw",1.59477192359914
"Orange juice, 100%, canned, bottled or in a carton",0.37476948876699623
"Orange juice, 100%, with calcium added, canned, bottled or i",0.30243584648435856
"Orange, raw",0.37710681755918235
Pancake syrup,0.8729488608440632
Peanut butter,0.5832785896506609
"Pork bacon, ns as to fresh, smoked or cured, cooked",0.32282162031624806
"Potato, french fries, fast food",0.44310124643956283
"Rice, white, cooked, no added fat",0.3782689443836194
"Roll, white, soft",0.39228751335347456
"Soft drink, cola",0.5445839103174982
"Soft drink, fruit flavored, caffeine free",0.5935657041939969
"Strawberries, raw",0.38356242738840685
"Sugar, white, granulated or lump",0.5668045364999881
"Tea, iced, bottled, black",0.34498332381684593
"Tea, iced, brewed, black, pre-sweetened with sugar",0.5705661415254323
"Tomatoes, for use on a sandwich",0.16354210771440822
"Tomatoes, raw",0.8687742362566881
"Turkey, prepackaged or deli, luncheon meat",0.5072190521741486
"Water, bottled, unsweetened",0.4112813445051558
"Water, tap",0.4996780057555005
